Game ID,White,Black,Date of Game,Winner,Time Control,Opening,Black ELO,White ELO,Termination,Variant,Game Movelist
d4e07a494561c577e02a2954d06d93748ce8d7aa,Blu3_Pops1cl3,manoghn,2021.09.22,White,600+0,Three Knights Opening,1082,1071,Normal,Standard,"e4,e5,Nf3,Nc6,Nc3,d6,d4,b5,dxe5,dxe5,Nxb5,a6,Nxe5,Nxe5,Qxd8+,Kxd8,Bf4,Ng4,f3,Bb4+,c3,Ne3,cxb4,Nc2+,Kd1,Nxa1,Nc3,Be6,Be5,Bxa2,Bxg7,Bb3+,Kd2,Rc8,Bxa6,Nc2,Bxc8,Kxc8,Bxh8,Ne7,Bf6,Nc6,Nd5,N6xb4,Nxb4,c5,Nxc2,Bc4,Rc1,Bb3,Na3,c4,Rxc4+,Bxc4,Nxc4,h5,Ne5,h4,Nxf7,h3,gxh3,Kd7,h4,Ke6,h5,Kxf6,h6,Kxf7,h7,Kg7,b4,Kxh7,b5,Kg8,b6,Kf8,b7,Ke8,b8=Q+,Kd7,Qb6,Kc8,e5,Kd7,f4,Ke7,h4,Kd7,f5,Ke7,h5,Kf7,h6,Kg8,f6,Kh7,e6,Kxh6,e7,Kh7,e8=Q,Kh6,f7+,Kg7,f8=Q+,Kh7,Kc1"
1a78469c8756714bb4fa2f9d8f996f1dc5a9afd9,FlorDelDesierto,manoghn,2021.09.22,White,600+0,Van Geet Opening,1082,1073,Normal,Standard,"Nc3,c6,d4,d5,Bf4,f6,Nf3,g5,Bg3,h6,Qd3,g4,Qg6+,Kd7,Qxg4+,Ke8,Qh5+,Kd7,Bf4,e5,Nxe5+,fxe5,Bxe5,Be7,Bxh8,Nf6,Bxf6,Bxf6,Qf5+,Ke7,Qh7+,Ke8,g3,Qd7,Qxh6,Qg4,Bh3,Qf3,exf3,Bxd4,Qh8+,Ke7,Bxc8,Nd7,Bxb7,Rxh8,Bxc6,Rh5,g4,Re5+,Ne2,Bxb2,Rd1,Nc5,O-O,Rxe2,Bxd5,Rxc2,Rb1,Bc3,Be4,Bd4,Bxc2,Bxf2+,Kxf2,a5,Rfe1+,Ne6,h4,a4,Bxa4,Kf7,h5,Ng7,g5,Nxh5,Rb7+,Kg6,Re6+,Kxg5,Re5+,Kf4,Rxh5"
59e8c620f8246218386cd2c6970b0efbb43d58cc,manoghn,JcobOY34,2021.09.22,Black,600+0,Ponziani Opening,1075,1108,Time forfeit,Standard,"e4,e5,Nf3,Nc6,c3,f6,d4,exd4,cxd4,Nge7,d5,Ne5,Nh4,d6,Nf5,Nxf5,exf5,Bxf5,Qh5+,g6,Qe2,Bxb1,Rxb1,Qe7,Qb5+,Qd7,Qxb7,Qc8"
9b6fa7cdba66d55588bee5f69085f068031f3501,Ertu2015,manoghn,2021.09.22,Black,600+0,Queen's Pawn Game,1093,936,Normal,Standard,"d4,d5,e3,b6,g4,c5,Bg2,e6,e4,Nc6,exd5,exd5,c4,Nxd4,cxd5,Bf5,gxf5,Nxf5,d6,Bxd6,Bxa8,Nh4,Bc6+,Kf8,Nh3,Qe8+,Kf1,Qxc6,Ng5,Qg2+,Ke2,Qf3+,Nxf3,Ng2,Nc3,c4,Qxd6+,Ke8,Qe5+,Ne7,Nd4,f6,Qb8+,Kf7,Ne4,Rxb8,Nd6+,Kf8,Rg1,Nf4+,Bxf4,Rd8,Rg2,Ng6,Rag1,Nxf4+,Kf3,g5,Rg4,Ne2,Nxe2,Rxd6,R1g3,Rd3+,Kg2,Rd2,Nc3,Rxb2,Re3,Rxa2,Nxa2,b5,Rge4,a5,Re8+,Kf7,R3e7+,Kg6,Nc3,b4,Rg8+,Kf5,Rxh7,bxc3,Rh5,c2,Rh3,c1=Q,Rf3+,Ke4,Re8+,Kd4,Rxf6,Kc3,Rg8,a4,Rf5,a3,Rfxg5,a2,Ra8,a1=Q,Rga5,Qab2,h4,Qe1,R5a6,Qbxf2+,Kh3,Qh1+,Kg4,Qhxh4#"
cbe50cb3e924a9833f5cd31756f18611f5587cd2,manoghn,QuickGrasshopper,2021.09.22,White,600+0,Scandinavian Defense: Mieses-Kotroc Variation,950,1076,Normal,Standard,"e4,d5,exd5,Qxd5,b3,Qd8,Bc4,e6,Qf3,Bd7,d4,Bc6,d5,Bxd5,Bb5+,Bc6,Bd3,Bxf3,gxf3,Nc6,c3,Nb4,cxb4,c5,b5,b6,Nc3,a6,Ne4,e5,h4,Qxd3,Ng5,Qd8,f4,Be7,h5,axb5,fxe5,Kf8,e6,Bxg5,exf7,Nf6,Ba3,Kxf7,Bxc5,Ke8,Bb4,Nxh5,a4,Be7,axb5,Bxb4+,Kf1,Qd3+,Kg2,Qg6+,Kf1,Rd8,Re1+,Kf8,Nh3,Kg8,Nf4,Rf8,Nxg6,Rf7,Re8+,Rf8,Rxf8+,Bxf8,Nh4,Nf6,Nf5,Nd7,Rh4,Nf6,Rd4,Nh5,Nh4,Ng3+,fxg3,Be7,Nf5,Bf8,Rd7,h5,Ne7+,Bxe7,Rxe7,Kf8,Re6,Rh6,Re4,Re6,Rxe6,g5,Re4,h4,gxh4,gxh4,Rxh4,Ke8,Rh6,Kd7,Rxb6,Ke8,Ra6,Ke7,b6,Ke6,b7+,Ke5,b8=Q+,Kf5,Ra5+,Kf6,Qe5+,Kg6,Qg5+,Kf7,Qf5+,Ke7,Ra6,Kd8,Ra7,Ke8,Qf7+,Kd8,Qd7#"
6f615437e57dad0a20a1a037348dad2d9bf42460,prepossession,manoghn,2021.09.20,White,600+0,Mikenas Defense,1101,1140,Normal,Standard,"d4,Nc6,Nf3,f6,Bf4,Ne5,e3,g5,Bxe5,fxe5,dxe5,g4,Ng5,Nh6,Bd3,Rg8,Nxh7,Bg7,f4,gxf3,Qxf3,Bxe5,O-O,e6,Bg6+,Rxg6,Qh5,Nf7,Qxg6,Qh4,Qxf7+,Kd8,Qf8#"
5939e5a78c979f63823b36159cc6bbe85d1b7c3e,manoghn,sunshine2772,2021.09.20,Black,600+0,Russian Game,1172,1128,Normal,Standard,"e4,e5,Nf3,Nf6,d3,Nc6,g4,d6,g5,Ng4,Bh3,Nxf2,Qe2,Nxh1,Qg2,Nf2,Qxf2,Bxh3,Ng1,Be6,Nh3,Nd4,g6,hxg6,Ng5,Nf5,exf5,Bd5,f6,gxf6,Nxf7,Bxf7,d4,Qe7,Qe3,f5,Qd3,Rxh2,Qb5+,c6,Qxb7,Qxb7,dxe5,Rh1+,Kd2,Qb4+,c3,Qf4+,Kc2,Qxc1+,Kd3,dxe5,Nd2,Qxa1,Nc4,e4+,Kd4,Qd1+,Ke5,Bd6+,Kf6,Be7+,Kg7,Bf8+,Kf6,Qd8+,Ke5,Bg7+,Kf4,Rf1+,Kg3,Qc7+,Kh4,Bf6+,Kh3,Bxc4,b3,Qh7+,Kg2,Qh1+,Kg3,Rf3#"
67ea05bb33dfbed6da7dc87a68cc76f2aca78fba,manoghn,evgenui-13091986,2021.09.20,Black,600+0,Queen's Pawn Game: Chigorin Variation,1181,1159,Normal,Standard,"d4,d5,Nc3,c6,f3,e6,e4,dxe4,fxe4,f6,Qh5+,g6,Qh4,Qxd4,Nge2,Qc5,Qg4,f5,Qg5,Bh6,Na4,Qd4,b3,Qxa1,Qg3,Qxa2,Qd3,Bxc1,Qd6,Ba3,Qc7,Qa1+,Kf2,Ne7,Nd4,Na6,Qe5,Rf8,Qxe6,Bxe6,Nxe6,Rf6,Ng7+,Kd7,Nb6+,Kd6,Nxa8,Qd4+,Ke1,Bb4+,c3,Qxc3+,Kf2,Qd4+,Kf3,fxe4+,Kg4,e3+,Kg5,Qe5+,Kh6,Qh5+,Nxh5,gxh5+,Kxh7,h4,h3,Bc3,Be2,Rf7+,Kh6,Rg7,Rd1+,Ke5,Kxg7,Nf5+,Kg6,Ng3,Bf3,Kf4,Rd8,Nc5,Rf8+,Ke5,Nc7,Ne6,Rf5+,Kd6,Ne8+,Ke7,Nf6,Nxf5,g4,Ng3,g5,Nf8+,Kg7,Ne6+,Kg6,Nf8+,Kg7,Nf5+,Kg8,Ng6,Be4,Bxf6,Bxf5,Bxg5,Bxg6,e2,Bd3,e1=Q,Bg6,Qf1,Bf7,Qxf7+,Kh8,Bf6#"
d0666cd2bb42f65168879d57e103b1f4b66734f0,nitindeora,manoghn,2021.09.20,White,300+0,Bishop's Opening: Philidor Counterattack,1500,1426,Normal,Standard,"e4,e5,Bc4,c6,Qf3,d5,exd5,f6,dxc6,bxc6,a3,Ne7,d3,Nd7,Ne2,Nc5,O-O,Nxd3,Bxd3,e4,Bxe4,Ng6,Bxc6+,Bd7,Bxa8,Bb5,Qe4+,Ne5,Bf4,Bd6,Bxe5,Bxe5,c3,Bd3,Qc6+,Kf8,Re1,f5,Nd4,Bf4,Ne6+,Kf7,Nxd8+,Rxd8,Qb7+,Kg8,g3,Rd6,Re8#"
c6f67bd202cd63f915d119f48cfa9e82bfb5cb80,Daverov,manoghn,2021.09.20,White,600+0,King's Pawn Game: Wayward Queen Attack,1194,1199,Normal,Standard,"e4,e5,Qh5,g6,Qxe5+,Ne7,Qxh8,Nd5,Qe5+,Ne7,Nf3,d6,Qh8,f5,exf5,Nxf5,Qxh7,Qe7+,Qxe7+,Bxe7,Nc3,b5,Nd5,Bd8,Bxb5+,c6,Bxc6+,Nxc6,b3,Ba6,Ba3,Ba5,Bxd6,O-O-O,Ne7+,Kd7,Nxf5,Re8+,Kd1,Be2+,Kc1,gxf5,Bc5,Rc8,Re1,Bb5,Nd4,Ba6,Nxf5,Kc7,Ne7,Rd8,b4,Nxb4,Bxb4,Bxb4,Re5,Bxd2+,Kd1,Bc3+,Rd5,Bxa1,h4,Bc4,Rd2,Bc3,Rxd8,Kxd8,Nc6+,Kc7,Nxa7,Kb7,h5,Kb6,Nc8+,Kb5,Nd6+,Kb4,Nxc4,Kxc4,g4,Kd4,h6,Ke4,g5,Kf5,g6,Kxg6,a4,Kxh6,Ke2,Kg5,Kd3,Bb4,Kc4,Ba5,Kb5,Bc3,a5,Bd4,a6,Kf6,c4,Ke6,c5,Kd5,a7,Bxc5,a8=Q+,Kd4,Qa4+,Kd5,Qc4+,Kd6,Qxc5+,Ke6,f4,Kf6,f5,Kf7,Qc6,Kg7,f6+,Kg6,Qe6,Kg5,f7,Kh5,f8=Q,Kh4,Qff5,Kg3,Qee4,Kh2,Qff3,Kg1,Qee3+,Kh2,Qfe2+,Kh1,Qc1#"
